keys,zh,en,ja
TACTICAL_TIP_MISSILE_RANGE,导弹射程受高度和目标接近率影响。高空迎头发射可获得最大射程；低空尾追时的有效射程最短。,Missile range varies with altitude and target closure rate. A high-altitude head-on launch provides the greatest range; a low-altitude tail chase provides the shortest effective range.,ミサイル射程は高度と目標への接近率で変化する。高高度の正面発射で最大射程を得られ、低高度の後方追撃では有効射程が最短となる。
TACTICAL_TIP_MISSILE_SWEET_SPOT,最大射程并不等于最佳发射距离。导弹在射程边缘容易因能量不足被规避，射程中段通常具有更高命中率。,"Maximum range is not the optimal launch distance. Near the edge of its range, a missile can be defeated by energy loss; the middle of the engagement envelope generally provides a higher probability of hit.",最大射程は最適な発射距離ではない。射程限界付近ではミサイルがエネルギー不足で回避されやすく、交戦包絡線の中間域では一般に命中率が高くなる。
TACTICAL_TIP_CRANK,导弹发射后，飞机会减速并保持雷达指向目标，以持续提供制导信息。若目标脱离照射范围，导弹将失去制导。,"After launch, the aircraft decelerates and keeps its radar pointed at the target to continue providing guidance. If the target leaves the illumination envelope, the missile loses guidance.",発射後、機体は減速しながらレーダーを目標へ向け続け、誘導情報を提供する。目標が照射範囲から外れると、ミサイルは誘導を失う。
TACTICAL_TIP_RELOAD,导弹、机炮和热诱弹耗尽后会自动进入装填流程，HUD 将显示剩余时间。装填期间应切换其他可用武器，或暂时脱离交战。,"Missiles, guns, and flares automatically begin reloading when depleted, and the HUD displays the remaining time. During reload, switch to another available weapon or temporarily disengage.",ミサイル、機関砲、フレアは残量が尽きると自動的に装填へ入り、HUD に残り時間が表示される。装填中は別の使用可能な武器へ切り替えるか、一時的に離脱する。
TACTICAL_CONTROLS_TITLE,[ 操作 ],[ CONTROLS ],[ 操作 ]
TACTICAL_CONTROLS_LMB,[color=#ffe08a][左键][/color]  指定目标,[color=#ffe08a][LMB][/color]  Set target,[color=#ffe08a][左クリック][/color]  目標指定
TACTICAL_CONTROLS_RMB,[color=#ffe08a][右键][/color]  解除任务,[color=#ffe08a][RMB][/color]  Clear order,[color=#ffe08a][右クリック][/color]  任務解除
TACTICAL_CONTROLS_MMB,[color=#ffe08a][WASD / 中键拖动][/color]  自由平移相机,[color=#ffe08a][WASD / MMB drag][/color]  Pan camera freely,[color=#ffe08a][WASD / 中ドラッグ][/color]  カメラ自由移動
TACTICAL_CONTROLS_WHEEL,[color=#ffe08a][滚轮][/color]  缩放,[color=#ffe08a][Wheel][/color]  Zoom,[color=#ffe08a][ホイール][/color]  ズーム
TACTICAL_CONTROLS_SPACE,[color=#ffe08a][空格][/color]  重新锁定跟随玩家,[color=#ffe08a][Space][/color]  Re-lock follow on player,[color=#ffe08a][スペース][/color]  プレイヤー追尾に復帰
TACTICAL_CONTROLS_TAB,[color=#ffe08a][Tab][/color]  战术地图,[color=#ffe08a][Tab][/color]  Tactical map,[color=#ffe08a][Tab][/color]  戦術マップ
TACTICAL_CONTROLS_ESC,[color=#ffe08a][ESC][/color]  退出当前界面,[color=#ffe08a][ESC][/color]  Exit current view,[color=#ffe08a][ESC][/color]  現在の画面を閉じる
TUTORIAL_HEADER,[ 基础操作 ],[ Basics ],[ 基本操作 ]
TUTORIAL_RULE_AUTOFLY,• 飞机会自动向前飞行，不会停下,• Your aircraft flies forward on its own — it never stops,• 機体は自動で前進し続けます（停止しません）
TUTORIAL_RULE_CLICKMOVE,• 点击地图任意位置，飞机会转向并飞往该标记点,• Click anywhere on the map — your aircraft turns and flies toward the marker,• マップをクリックすると、機体はその地点に向かって旋回・飛行します
TUTORIAL_CLICK_ATTACK,[color=#ffe08a][左键点击敌机][/color]  下达攻击指令,[color=#ffe08a][Left-click enemy][/color]  Issue attack order,[color=#ffe08a][左クリック][/color]  敵機に攻撃指示
TUTORIAL_AUTO_FIRE,[color=#ffe08a][雷达锁定完成][/color]  自动发射导弹,[color=#ffe08a][Radar lock complete][/color]  Missile auto-fires,[color=#ffe08a][ロックオン完了][/color]  ミサイル自動発射
TUTORIAL_AFTERBURNER,[color=#ffe08a][E 加力模式][/color]  全队极速脱离并闪避火力，但期间无法攻击；再按 E 提前关闭,[color=#ffe08a][E Afterburner][/color]  Squad-wide escape burst that evades fire but disables attacks; press E again to stop,[color=#ffe08a][E アフターバーナー][/color]  全隊で高速離脱し攻撃を回避（使用中は攻撃不可）；Eでもう一度停止
TUTORIAL_ASSAULT,[color=#ffe08a][双击敌机][/color]  突击模式：强制机炮贴身追击，直到目标被消灭,[color=#ffe08a][Double-click enemy][/color]  Assault mode: force a close-range gun attack until the target is destroyed,[color=#ffe08a][敵機をダブルクリック][/color]  突撃モード：目標撃破まで機銃で接近追撃
TUTORIAL_CAMERA,[color=#ffe08a][WASD / 中键拖动][/color]  自由平移（默认跟随玩家，[color=#ffe08a]空格[/color]重新锁定）,"[color=#ffe08a][WASD / MMB drag][/color]  Free-pan (follows you by default, [color=#ffe08a]Space[/color] to re-lock)",[color=#ffe08a][WASD / 中ドラッグ][/color]  自由移動（既定は追尾、[color=#ffe08a]スペース[/color]で再ロック）
TUTORIAL_ZOOM,[color=#ffe08a][滚轮][/color]  缩放视野,[color=#ffe08a][Wheel][/color]  Zoom view,[color=#ffe08a][ホイール][/color]  ズーム
TUTORIAL_WORLD_CLICK,点击攻击,CLICK TO ATTACK,クリックで攻撃
TUTORIAL_WINGMAN_HEADER,[ 僚机已加入 ],[ Wingman Joined ],[ 僚機が合流 ]
TUTORIAL_WINGMAN_SWITCH_FMT,[color=#ffe08a][按数字键 %d][/color]  接管对应号机；数字永远绑定同一架飞机。完成一次切换后本提示消失。,[color=#ffe08a][Press %d][/color]  Take control of that aircraft; each number always stays bound to the same plane. This hint disappears after one switch.,[color=#ffe08a][数字キー %d][/color]  対応する機体を操作。番号は常に同じ機体に固定され、一度切り替えるとこの案内は消えます。
AIRCRAFT_X02_DISPLAY,X-02 Wraith,X-02 Wraith,X-02 Wraith
AIRCRAFT_X02_CARDDESC,实验型武器平台。无传统机炮导弹热诱弹。装备电磁炮（远距高伤）+ 360° 激光（贴脸 DoT）。云中激光威力锐减，电磁炮不受影响。,Experimental weapon platform. No conventional gun/missile/flare. Equipped with railgun (long-range high-dmg) + 360° laser (close-range DoT). Laser weakens in clouds; railgun unaffected.,試作型兵器プラットフォーム。従来の機関砲/ミサイル/フレアなし。電磁砲（遠距離高威力）+ 360°レーザー（近接DoT）装備。雲中はレーザー威力低下、電磁砲は影響なし。
TAG_RAILGUN,电磁炮,Railgun,電磁砲
TAG_LASER_360,360° 激光,360° Laser,360°レーザー
TAG_NO_FLARE,无热诱弹,No Flares,フレアなし
BOSS_DEBUG_ENTRY_HINT,按 B  // BOSS DEBUG,Press B  // BOSS DEBUG,B キー  // BOSS DEBUG
BOSS_DEBUG_TITLE,[ BOSS DEBUG ],[ BOSS DEBUG ],[ BOSS DEBUG ]
BOSS_DEBUG_SUBTITLE,空白地图 + T4 参考编队 + 等级匹配 build + 直进 BOSS 战,Blank arena · T4 reference formation · Level-matched build · Instant Boss,空白マップ・T4参考編隊・レベル準拠ビルド・即ボス戦
BOSS_DEBUG_HINT_ESC,ESC 返回   //   战斗中 Tab 查看 build/里程碑   //   Shift+F7 无敌   //   F8 重抽,ESC Back   //   In combat: Tab for build/milestones   //   Shift+F7 Invuln   //   F8 Reroll,ESC 戻る   //   戦闘中 Tab でビルド/マイルストーン   //   Shift+F7 無敵   //   F8 再抽選
BOSS_DEBUG_LAUNCH_BUTTON,>> 出击 <<,>> ENGAGE <<,>> 出撃 <<
BOSS_DEBUG_AIRCRAFT_TITLE,[ 选择 T4 参考编队 ],[ Select T4 Reference Formation ],[ T4 参考編隊を選択 ]
BOSS_DEBUG_AIRCRAFT_SUBTITLE,每项至少四架同型机；按解锁等级生成技能、三轴与里程碑,T4 entries deploy 4+ same-type aircraft with level-matched skills axes and milestones,T4各項目は同型4機以上；解禁レベル準拠のスキル・三軸・マイルストーン
BOSS_DEBUG_REFERENCE_FMT,T4 // LV%d // ≥4机 // %s,T4 // LV%d // 4+ AIRCRAFT // %s,T4 // LV%d // 4機以上 // %s
BOSS_DEBUG_WRAITH_NAME,Wraith 中队 (F-47),Wraith Squadron (F-47),Wraith 中隊 (F-47)
BOSS_DEBUG_WRAITH_DESC,4 架光学隐身 BVR 王牌；协同齐射 + 赫尔贝特反杀,4× optical-cloak BVR aces; coordinated salvo + Herbst reversal,光学ステルス4機 協調斉射＋ハーブストJターン
BOSS_DEBUG_CSG_NAME,Ladon 战斗群 (CSG),Ladon Strike Group (CSG),Ladon 打撃群 (CSG)
BOSS_DEBUG_CSG_DESC,CV+2CG+1DDG+2FFG; 旗舰沉没后弹射 4 架 F-14,CV+2CG+1DDG+2FFG; 4× F-14 ejected on CV sink,CV+2CG+1DDG+2FFG 沈没でF-14×4射出
BOSS_DEBUG_GOOSE_NAME,鹅妈妈 (空中航母),Mother Goose (Sky Carrier),マザーグース (空中空母)
BOSS_DEBUG_GOOSE_DESC,3000HP 巨型空中航母；UAV 蜂群 12-30 + 周期干扰场（每 60s 扩张 16s）,"3000HP airborne carrier; 12-30 UAV swarm + cyclic jam-field (every 60s, 16s expand+sustain)",3000HP巨大空中空母 UAV12-30機 60s周期干渉場
BOSS_DEBUG_BLACK_STAR_NAME,Black Star（Hyper-A 分裂体）,Black Star (Hyper-A Splitter),ブラックスター（Hyper-A分裂体）
BOSS_DEBUG_BLACK_STAR_DESC,双根高空俯冲；三次二分至 16 个 G3；可直达代际与招式,Two high-altitude roots; split three times into 16 G3; direct phase tests,高高度から双根突入・三段分裂でG3×16・世代/技を直接テスト
BOSS_BANNER_MOTTO,INVADERS MUST DIE,INVADERS MUST DIE,INVADERS MUST DIE
BOSS_BANNER_WRAITH_MOTTO,NOTHING BUT THIEVES,NOTHING BUT THIEVES,NOTHING BUT THIEVES
BOSS_BANNER_CSG_MOTTO,AN AWESOME WAVE,AN AWESOME WAVE,AN AWESOME WAVE
BOSS_BANNER_WINDOW_TITLE_FMT,SYSTEM WARNING // %02d,SYSTEM WARNING // %02d,SYSTEM WARNING // %02d
BOSS_BANNER_WINDOW_BODY,FOREIGN PROCESS DETECTED,FOREIGN PROCESS DETECTED,FOREIGN PROCESS DETECTED
BOSS_BANNER_ALERT_HEADER,UNAUTHORIZED HOSTILE ENTITY,UNAUTHORIZED HOSTILE ENTITY,UNAUTHORIZED HOSTILE ENTITY
BOSS_BANNER_ROLE_FMT,THREAT CLASS // %s,THREAT CLASS // %s,THREAT CLASS // %s
BOSS_BANNER_CALLSIGN_FMT,CALLSIGN // %s,CALLSIGN // %s,CALLSIGN // %s
BOSS_BANNER_WRAITH_NAME,WRAITH SQUADRON,WRAITH SQUADRON,WRAITH SQUADRON
BOSS_BANNER_WRAITH_ROLE,STEALTH ACE SQUADRON,STEALTH ACE SQUADRON,STEALTH ACE SQUADRON
BOSS_BANNER_CSG_NAME,LADON STRIKE GROUP,LADON STRIKE GROUP,LADON STRIKE GROUP
BOSS_BANNER_CSG_ROLE,CARRIER STRIKE GROUP,CARRIER STRIKE GROUP,CARRIER STRIKE GROUP
BOSS_BANNER_MOTHER_GOOSE_NAME,MOTHER GOOSE,MOTHER GOOSE,MOTHER GOOSE
BOSS_BANNER_MOTHER_GOOSE_ROLE,AIRBORNE UAV CARRIER,AIRBORNE UAV CARRIER,AIRBORNE UAV CARRIER
BOSS_BANNER_BLACK_STAR_NAME,BLACK STAR // HYPER-A,BLACK STAR // HYPER-A,BLACK STAR // HYPER-A
BOSS_BANNER_BLACK_STAR_ROLE,HYPERSONIC SPLIT-BODY,HYPERSONIC SPLIT-BODY,HYPERSONIC SPLIT-BODY
BOSS_BANNER_BLACK_STAR_MOTTO,Blame it on the falling sky,Blame it on the falling sky,Blame it on the falling sky
TAG_AIR,空战,AIR,空戦
TAG_NAVAL,海上,NAVAL,海上
TAG_CARRIER,空中航母,SKY CARRIER,空中空母
TAG_STEALTH,隐身,STEALTH,ステルス
TAG_TWO_PHASE,二阶段,2-PHASE,二段階
TAG_SPLITTER,分裂体,SPLITTER,分裂体
BOSS_DEBUG_HUD_LOADED_FMT,BUILD: %s   //   BOSS: %s,BUILD: %s   //   BOSS: %s,BUILD: %s   //   BOSS: %s
DOCK_HANEDA_NAME,羽田机场,Haneda Airfield,羽田飛行場
DOCK_KISARAZU_NAME,木更津基地,Kisarazu Base,木更津駐屯地
DOCK_CHOFU_NAME,調布机场,Chofu Airfield,調布飛行場
DOCK_CARRIER_NAME,友军航母,Allied Carrier,友軍空母
DOCK_HINT_SLOW,减速至 %d km/h 以下停靠,Slow below %d km/h to dock,%d km/h 以下に減速して着陸
DOCK_HINT_DOCKING,停靠中…,Docking…,着陸中…
DOCK_HINT_GO_SETTLE,✈ 进化/回血待结算——飞往停靠点（机场/航母）减速着陆,✈ Evolution/repair pending — fly to a dock (airfield/carrier) and slow to land,✈ 進化/回復が未精算——基地/空母へ飛び減速して着陸
DOCK_REWARD_CLAIMED_FMT,已领取：%s,Claimed: %s,受領：%s
DOCK_WINGMAN_GRANTED,✚ 停靠补给：僚机 1 架入队,✚ Resupply: +1 wingman joined,✚ 補給：僚機 1 機が編入
ZONE_CLEARED_REWARD_PENDING_FMT,已攻克 %s！奖励 %s 待停靠领取,%s cleared! Reward %s awaits docking,%s 制圧！報酬 %s は着陸後に受領
REWARD_CARRIER_NAME,航母增援,Carrier Reinforcement,空母増援
REWARD_CARRIER_DESC,友军航母入场，作为海上停靠点：降落可全队回血 + 开进化面板（全程限 2 次登舰）,Allied carrier deploys as a sea dock: land to heal the whole squad and open evolution (2 landings per run),友軍空母が海上ドックとして展開：着艦で全機回復＋進化パネル（作戦中2回まで）
REWARD_WINGMAN_NAME,王牌僚机增援,Ace Wingman Reinforcement,エース僚機増援
REWARD_WINGMAN_DESC,立即最多 2 架同型王牌僚机入队（编队上限 9），不增加长机战斗等级；满编则改发追加武器,Up to two ace wingmen of your type join instantly (squad cap 9) without raising the lead's combat level; converted to a weapon if the squad is full,同型エース僚機が最大2機即編入（最大9機）。隊長の戦闘レベルは上がらず、満員時は兵装に変換
REWARD_WEAPON_TAILMINE_NAME,尾部漂浮雷,Tail Floating Mines,後方フロートマイン
REWARD_WEAPON_TAILMINE_DESC,加力窗口内向后方一次布 3 枚漂浮雷，扫描 1500m 内敌机，近炸 130m 范围 60 伤害——甩掉咬尾用,During an afterburner window drops 3 drifting mines behind you; scans aircraft within 1500m and detonates for 60 damage in a 130m blast,アフターバーナー中に後方へフロートマイン3発を投下。1500m内の敵を探知し130m範囲に60ダメージ
REWARD_WEAPON_LOYAL_NAME,忠诚僚机,Loyal Wingman Drone,ロイヤルウィングマン
REWARD_WEAPON_LOYAL_DESC,每 20 秒独立放出 1 架自主无人机（同场最多 2 架），逼近至 80m 自爆（60m 范围 30 伤害）,Independently launches one autonomous drone every 20s (2 airborne max); it kamikazes within 80m for 30 damage in a 60m blast,20秒ごとに自律無人機を1機射出（同時2機まで）。敵に80mまで接近して自爆（60m範囲30ダメージ）
REWARD_WEAPON_QMAAM_NAME,QMAAM 格斗弹,QMAAM Missiles,QMAAM ミサイル
REWARD_WEAPON_QMAAM_DESC,副弹槽装填高机动格斗弹：60G / 120° 导引头 / 8 秒冷却，专打近距缠斗；已有则补弹,Loads a high-agility dogfight missile in the secondary rack: 60G / 120° seeker / 8s cooldown for knife-fight range; adds ammo if you already have one,副兵装に高機動格闘ミサイルを搭載：60G旋回・120°シーカー・CD8秒。所持済みなら弾数追加
CARRIER_INBOUND_HINT,⚓ 友军航母正从南方水道入场,⚓ Allied carrier inbound from the southern channel,⚓ 友軍空母が南水道から進入中
CARRIER_USES_LEFT_FMT,航母剩余登舰次数：%d,Carrier landings remaining: %d,空母着艦残り回数：%d
CARRIER_LOST_HINT,⚓ 航母被击沉——剩余登舰机会已失去,⚓ Carrier sunk — remaining landings lost,⚓ 空母撃沈——残り着艦機会を喪失
CARRIER_ALREADY_ON_STATION,航母已在场待命,Carrier already on station,空母は既に展開中
REWARD_WINGMAN_FULL_HINT,编队已满员（9 机）——奖励转为追加武器,Squad full (9) — reward converted to weapon,編隊満員（9機）——報酬は兵装に変換
EVOLUTION_CAT_BRIDGE,桥接,Bridge,ブリッジ
EVOLUTION_CAT_STEALTH,隐身渗透,Stealth,ステルス
EVOLUTION_CAT_CARRIER,空中母舰,Carrier,空中母艦
EVOLUTION_CAT_LEGEND,传说,Legend,レジェンド
AIRCRAFT_A6E_DISPLAY,A-6E 入侵者,A-6E Intruder,A-6E イントルーダー
AIRCRAFT_A6E_PERK_GUN,强化机炮：伤害 +25% / 射程 +15%,Reinforced cannon: +25% damage / +15% range,強化機関砲：ダメージ+25% / 射程+15%
AIRCRAFT_MIRAGE3_DISPLAY,幻影 III,Mirage III,ミラージュ III
AIRCRAFT_MIRAGE3_PERK_XP,电战数据链：击杀经验 +10%,EW datalink: +10% kill XP,電子戦データリンク：撃墜経験値+10%
AIRCRAFT_MIRAGE2000_DISPLAY,幻影 2000,Mirage 2000,ミラージュ 2000
AIRCRAFT_F15C_DISPLAY,F-15C 鹰,F-15C Eagle,F-15C イーグル
AIRCRAFT_F15E_DISPLAY,F-15E 攻击鹰,F-15E Strike Eagle,F-15E ストライクイーグル
AIRCRAFT_FA18E_DISPLAY,F/A-18E 超级大黄蜂,F/A-18E Super Hornet,F/A-18E スーパーホーネット
AIRCRAFT_EA18G_DISPLAY,EA-18G 咆哮者,EA-18G Growler,EA-18G グラウラー
AIRCRAFT_GRIPEN_C_DISPLAY,JAS 39C 鹰狮,JAS 39C Gripen,JAS 39C グリペン
AIRCRAFT_SU27_DISPLAY,苏-27 侧卫,Su-27 Flanker,Su-27 フランカー
AIRCRAFT_RAFALE_DISPLAY,阵风,Rafale,ラファール
AIRCRAFT_TORNADO_DISPLAY,狂风 IDS,Tornado IDS,トーネード IDS
AIRCRAFT_TYPHOON_DISPLAY,台风,Eurofighter Typhoon,ユーロファイター タイフーン
AIRCRAFT_VIGGEN_DISPLAY,AJ 37 雷,AJ 37 Viggen,AJ 37 ビゲン
AIRCRAFT_HARRIER_DISPLAY,鹞 GR.7,Harrier GR.7,ハリアー GR.7
AIRCRAFT_F15SMTD_DISPLAY,F-15 S/MTD,F-15 S/MTD,F-15 S/MTD
AIRCRAFT_SU35_DISPLAY,苏-35 侧卫-E,Su-35 Flanker-E,Su-35 フランカーE
AIRCRAFT_GRIPEN_E_DISPLAY,JAS 39E 鹰狮,JAS 39E Gripen,JAS 39E グリペン
AIRCRAFT_SU57_DISPLAY,苏-57 重罪犯,Su-57 Felon,Su-57 フェロン
AIRCRAFT_J20_DISPLAY,歼-20 威龙,J-20 Mighty Dragon,J-20 マイティドラゴン
AIRCRAFT_A12_DISPLAY,A-12 复仇者 II,A-12 Avenger II,A-12 アヴェンジャー II
AIRCRAFT_YF23_DISPLAY,YF-23 黑寡妇 II,YF-23 Black Widow II,YF-23 ブラックウィドウ II
AIRCRAFT_F47_DISPLAY,F-47 NGAD,F-47 NGAD,F-47 NGAD
AIRCRAFT_FAXX_DISPLAY,F/A-XX,F/A-XX,F/A-XX
AIRCRAFT_MIG41_DISPLAY,米格-41,MiG-41 PAK DP,MiG-41 PAK DP
AIRCRAFT_FCAS_DISPLAY,FCAS 新一代战机,FCAS NGF,FCAS NGF
AIRCRAFT_GCAP_DISPLAY,GCAP 暴风,GCAP Tempest,GCAP テンペスト
AIRCRAFT_J36_DISPLAY,歼-36,J-36,J-36
AIRCRAFT_X77_DISPLAY,X-77 幻影渡鸦,X-77 Phantom Raven,X-77 ファントムレイヴン
AIRCRAFT_X90_DISPLAY,X-90 天鲸,X-90 Skywhale,X-90 スカイホエール
AIRCRAFT_AX00_DISPLAY,AX-00 织星者,AX-00 Starweaver,AX-00 スターウィーバー
ZONE_F_NAME,荒川北岸,Arakawa North,荒川北岸
ZONE_G_NAME,千叶中部,Chiba Central,千葉中部
REWARD_WEAPON_ROCKET_NAME,火箭弹吊舱,Rocket Pods,ロケット弾ポッド
REWARD_WEAPON_ROCKET_DESC,前方 35° 锥内有敌即扇形齐射 8 发火箭，近炸 120m 范围 90 伤害，弹药无限（4 秒冷却）,Wing pods fan-fire 8 rockets whenever a target is inside the 35° forward cone; 90 damage in a 120m blast with unlimited ammo (4s cooldown),前方35°錐内に敵がいれば8発を扇形斉射。120m範囲90ダメージ・弾数無限（CD4秒）
REWARD_WEAPON_RAILGUN_NAME,电磁炮,Railgun,レールガン
REWARD_WEAPON_RAILGUN_DESC,蓄力 1.2 秒后沿锁定弹道打出 150 伤害光束，射程 7000m（6 秒冷却）；需机头对准,Charges 1.2s then fires a 150-damage beam along the locked trajectory out to 7000m (6s cooldown); needs a nose-on line-up,1.2秒チャージ後に固定弾道へ150ダメージのビーム。射程7000m（CD6秒）・機首を向ける必要あり
REWARD_WEAPON_LASER_NAME,激光阵列,Laser Array,レーザーアレイ
REWARD_WEAPON_LASER_DESC,持续压低空中目标速度：导弹过慢即被摧毁，飞机会进入真实失速并掉高；不攻击地面目标,Continuously drains airborne target speed: missiles are destroyed when too slow and aircraft enter a real stall; ignores ground targets,空中目標を継続減速・ミサイルは低速で破壊され航空機は実際に失速降下・地上目標は対象外
REWARD_WEAPON_ESM_NAME,ESM 吊舱,ESM Pod,ESMポッド
REWARD_WEAPON_ESM_DESC,3000m 数据链光环：友军锁定速率 +50%，机炮、导弹与热诱弹装填时间 -30%,"3000m datalink aura: allied lock rate +50%; gun, missile and flare reload time -30%",3000mデータリンク範囲：味方ロック速度+50%・機関砲/ミサイル/フレア再装填時間-30%
EVENT_ACE_INBOUND_FMT,敌王牌中队 [%s] 来袭——全部击坠可延长战区时间 +1:00,Enemy ace squadron [%s] inbound — destroy all for +1:00 zone time,敵エース中隊 [%s] 接近中——全機撃墜で戦域時間+1:00
EVENT_ACE_DOWN_FMT,[%s] 已被歼灭——战区时间 +1:00,[%s] eliminated — zone time +1:00,[%s] を殲滅——戦域時間+1:00
EVENT_ACE_SURRENDER_FMT,[%s] 最后一架正在逃离——战区时间 +1:00,[%s] last aircraft is fleeing — zone time +1:00,[%s] 最後の一機が逃走中——戦域時間+1:00
EVENT_ACE_RETREAT_FMT,敌王牌中队 [%s] 正在撤离战场,Enemy ace squadron [%s] is withdrawing,敵エース中隊 [%s] が離脱中
ACE_SQUAD_MARATHON_NAME,马拉松,Marathon,マラソン
ACE_SQUAD_2NDWAVE_NAME,第二波,2nd Wave,セカンドウェーブ
ACE_SQUAD_ORION_NAME,猎户座,Orion,オリオン
ACE_SQUAD_GIMMICK_NAME,把戏,Gimmick,ギミック
ACE_SQUAD_GOOFIGHTERS_NAME,怪火,Goo Fighters,怪火
ACE_SQUAD_VULTURE_NAME,秃鹫,Vulture,ハゲワシ
ACE_SQUAD_WHITETEA_NAME,WhiteTea,WhiteTea,WhiteTea
ACE_SQUAD_MARATHON_LORE,执行消耗战任务的佣兵中队，以持续追踪和迫使目标耗尽能量见长。其最长确认追击记录为 42 分钟，目标在第 41 分钟失控坠海。,"Mercenary squadron specializing in attrition contracts, with sustained pursuit and exhausting a target's energy as its primary strengths. Its longest confirmed pursuit lasted 42 minutes; the target lost control and crashed during the forty-first minute.",消耗戦契約を専門とする傭兵中隊。継続追尾と目標のエネルギー消耗を得意とする。最長確認追撃記録は 42 分で、目標は 41 分目に制御を失って墜落した。
ACE_SQUAD_2NDWAVE_LORE,敌军高级战术学校的毕业考核编队。四名学员驾驶 F-15，教官 Teacher 驾驶较旧的 F-4E。该校三十年来尚无学员在毕业考核中击落 Teacher；本次考核将玩家编队列为作战目标。,"Graduation assessment formation from an advanced enemy tactics school. Four trainees fly F-15s while their instructor, Teacher, flies an older F-4E. No trainee has shot down Teacher during a graduation assessment in the school's thirty-year history; this assessment designates the player's formation as the combat objective.",敵軍上級戦術学校の卒業評価編隊。4 名の訓練生が F-15 を、教官 Teacher が旧式の F-4E を操縦する。開校 30 年間、卒業評価で Teacher を撃墜した訓練生はいない。今回の評価ではプレイヤー編隊が作戦目標に指定されている。
ACE_SQUAD_ORION_LORE,Cre 系自适应对抗原型机。每架被击落的 Cre 都会将最后 30 秒的交战数据传递给后继机体，用于迭代调整战术。测试序列计划持续至 Cre-99。,Cre-series adaptive combat prototypes. Each destroyed Cre transfers the final 30 seconds of engagement data to its successor for iterative tactical adjustment. The test sequence is scheduled to continue through Cre-99.,Cre 系適応対抗試作機。撃破された各 Cre は最後の 30 秒間の交戦データを後継機へ転送し、戦術を反復調整する。試験系列は Cre-99 まで継続する予定。
ACE_SQUAD_GIMMICK_LORE,混编诱导中队。两架 F-16 在远距离吸引追击，两架 Mirage 2000 从侧翼进入近距交战。该战术已被情报部门记录，但仍保持较高成功率。,"Mixed decoy squadron. Two F-16s draw pursuit at range while two Mirage 2000s enter short-range combat from the flank. Intelligence services have documented the tactic, but it continues to achieve a high success rate.",混成誘導中隊。2 機の F-16 が遠距離で追撃を誘い、2 機の Mirage 2000 が側面から近距離交戦へ入る。この戦術は情報部に記録済みだが、現在も高い成功率を維持している。
ACE_SQUAD_GOOFIGHTERS_LORE,由两架 Su-47 组成的高机动中队。可实施短时垂直悬停和快速航向变化，常从常规机动难以覆盖的方位重新进入交战。“怪火”是早期飞行员对其目视特征的称呼。,"Highly maneuverable squadron composed of two Su-47s. It can briefly hover vertically and change heading rapidly, often reentering combat from directions outside conventional maneuver coverage. “Goofighters” was the name earlier pilots gave to its visual signature.",2 機の Su-47 で構成される高機動中隊。短時間の垂直静止と急速な針路変更が可能で、通常機動では対応しにくい方向から再び交戦へ入る。「怪火」は初期の操縦者がその目視特徴に付けた呼称である。
ACE_SQUAD_WHITETEA_LORE,由三架 F-CK-1 组成的高速突击中队，成员呼号为 Tea、Cola 与 Bottle。编队采用一次机炮攻击后立即脱离的战术；遭到追击时，可通过快速 180° 航向反转重新取得攻击位置。,"High-speed strike squadron composed of three F-CK-1s, with members using the callsigns Tea, Cola, and Bottle. The formation conducts one gun attack and immediately disengages; when pursued, it can use a rapid 180-degree heading reversal to regain an attack position.",Tea、Cola、Bottle の呼称を持つ 3 機の F-CK-1 で構成された高速突撃中隊。編隊は機関砲攻撃を 1 回行った後に直ちに離脱し、追撃を受けると急速な 180 度針路反転で攻撃位置を取り戻す。
ACE_SQUAD_VULTURE_LORE,高空截击中队，采用八机横列和协同导弹齐射实施远程压制，完成攻击后立即脱离。该中队全部机体均拆除了机炮，不参与持续近距格斗。,High-altitude interceptor squadron that uses an eight-aircraft wall formation and coordinated missile salvos for long-range suppression before immediately disengaging. Every aircraft in the squadron has had its gun removed and does not participate in sustained short-range combat.,8 機の横列編隊と協同ミサイル斉射で遠距離制圧を行い、攻撃後すぐ離脱する高高度迎撃中隊。全機が機関砲を撤去しており、持続的な近距離格闘には参加しない。
DOCK_AIRFIELD_SPENT_FMT,%s 补给完毕，机场关闭,%s resupplied — airfield closed,%s 補給完了・飛行場閉鎖
MAP_VECTOR_PREVIEW_ON,纯矢量地图 V11：已开启（Shift+F10 返回正式瓦片）,Pure-vector map V11 enabled (Shift+F10 returns to production tiles),純ベクターマップ V11：オン（Shift+F10 で正式タイルに戻る）
MAP_VECTOR_PREVIEW_OFF,纯矢量地图 V11：已关闭（当前为正式瓦片）,Pure-vector map V11 disabled (production tiles active),純ベクターマップ V11：オフ（正式タイル表示）
MAP_VECTOR_PREVIEW_UNAVAILABLE,纯矢量预览不可用：已保留正式瓦片,Vector preview unavailable; production tiles retained,純ベクタープレビューを使用できません。正式タイルを維持します
